"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7053","TC_VL_053 - Verify lead journey -- @1.2 ","","Mon Jun 22 09:39:18 UTC 2026","passed","Mon Jun 22 09:39:25 UTC 2026","","","",""
"","17130","TC_NL_015 TC_NL_022 TC_NL_028 TC_NL_029 - Verify lead status is updated correctly based on upgrade action -- @1.1 ","","Mon Jun 22 09:42:54 UTC 2026","passed","Mon Jun 22 09:43:11 UTC 2026","","","",""
"","13608","Verify response details are displayed correctly","","Mon Jun 22 09:19:55 UTC 2026","passed","Mon Jun 22 09:20:09 UTC 2026","","","",""
"","7573","Verify lead export functionality with different filters -- @1.18 ","","Mon Jun 22 09:32:34 UTC 2026","passed","Mon Jun 22 09:32:41 UTC 2026","","","",""
"","20535","TC_LO_009, TC_LO_043-TC_LO_046 TC_LO_055 TC_NL_038 TC_NL_013-TC_NL_014-TC_NL_021 TC_NL_049 TC_NL_001 TC_NL_006 TC_NL_013-TC_NL_014-TC_NL_021 - Verify default lead details and system-generated values for a newly created lead -- @1.4 ","","Mon Jun 22 09:33:56 UTC 2026","passed","Mon Jun 22 09:34:17 UTC 2026","","","",""
"","27807","EU-03 EU-04 EU-05 EU-06 Verify updating user details -- @1.8 ","","Mon Jun 22 10:08:02 UTC 2026","passed","Mon Jun 22 10:08:29 UTC 2026","","","",""
"","9394","TC_LO_031 TC_OM_007 to TC_OM_010 TC_OM_024 - TC_OM_029 - Verify Opportunity data can be filtered using different filter criteria -- @1.5 ","","Mon Jun 22 09:36:27 UTC 2026","passed","Mon Jun 22 09:36:37 UTC 2026","","","",""
"","15241","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.17 ","","Mon Jun 22 09:28:19 UTC 2026","passed","Mon Jun 22 09:28:34 UTC 2026","","","",""
"","7604","Verify lead export functionality with different filters -- @1.21 ","","Mon Jun 22 09:32:57 UTC 2026","passed","Mon Jun 22 09:33:05 UTC 2026","","","",""
"","10057","TC_TS_02 TC_TS_03 TC_TS_04 Verify that I can view messages based on my selected filter option -- @1.8 ","","Mon Jun 22 09:12:03 UTC 2026","passed","Mon Jun 22 09:12:14 UTC 2026","","","",""
"","7759","Verify lead export functionality with different filters -- @1.2 ","","Mon Jun 22 09:30:33 UTC 2026","passed","Mon Jun 22 09:30:40 UTC 2026","","","",""
"","12954","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.4 ","","Mon Jun 22 09:25:14 UTC 2026","passed","Mon Jun 22 09:25:27 UTC 2026","","","",""
"","29253","FS-01 FS-02 FS-03 FS-04 Verify filtering users by status and reset -- @1.3 ","","Mon Jun 22 09:57:51 UTC 2026","passed","Mon Jun 22 09:58:20 UTC 2026","","","",""
"","30260","FS-01 FS-02 FS-03 FS-04 Verify filtering users by status and reset -- @1.5 ","","Mon Jun 22 09:58:54 UTC 2026","passed","Mon Jun 22 09:59:24 UTC 2026","","","",""
"","11440","TC_NL_017 - Verify cancel action returns user to Lead Management page -- @1.3 ","","Mon Jun 22 09:44:14 UTC 2026","passed","Mon Jun 22 09:44:25 UTC 2026","","","",""
"","27436","TC_VL_019 - Verify updating lead information reflects correctly across the system","","Mon Jun 22 09:34:52 UTC 2026","passed","Mon Jun 22 09:35:20 UTC 2026","","","",""
"","6078","AU-02 Verify mandatory field validations in Add User form -- @1.4 ","","Mon Jun 22 10:04:52 UTC 2026","passed","Mon Jun 22 10:04:58 UTC 2026","","","",""
"","7952","TC_VL_053 - Verify lead journey -- @1.3 ","","Mon Jun 22 09:39:25 UTC 2026","passed","Mon Jun 22 09:39:33 UTC 2026","","","",""
"","13916","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.16 ","","Mon Jun 22 09:28:05 UTC 2026","passed","Mon Jun 22 09:28:19 UTC 2026","","","",""
"","17005","TC_NL_031 TC_VL_038 TC_VL_041 - Verify multiple document upload and successful persistence","","Mon Jun 22 09:46:14 UTC 2026","passed","Mon Jun 22 09:46:31 UTC 2026","","","",""
"","26763","SU-02 SU-03 SU-05 Verify user search by name, email and reset -- @1.2 ","","Mon Jun 22 09:56:18 UTC 2026","passed","Mon Jun 22 09:56:45 UTC 2026","","","",""
"","13482","TC_NL_023 TC_NL_030 TC_NL_045 - Verify backward navigation retains data and follows stage sequence -- @1.3 ","","Mon Jun 22 09:44:47 UTC 2026","failed","Mon Jun 22 09:45:00 UTC 2026","","","",""
"","15812","TC_NL_027 - Verify attachment upload validation for valid and invalid files -- @1.1 ","","Mon Jun 22 09:45:14 UTC 2026","passed","Mon Jun 22 09:45:30 UTC 2026","","","",""
"","7006","Verify lead export functionality with different filters -- @1.11 ","","Mon Jun 22 09:31:41 UTC 2026","passed","Mon Jun 22 09:31:48 UTC 2026","","","",""
"","53717","TC_VL_020 - Verify last updated metadata reflects correct user and timestamp after edit -- @1.2 ","","Mon Jun 22 09:41:24 UTC 2026","passed","Mon Jun 22 09:42:17 UTC 2026","","","",""
"","11830","TC_LO_008 - Verify Pipeline Value calculation is accurate for the leads data","","Mon Jun 22 09:23:50 UTC 2026","failed","Mon Jun 22 09:24:02 UTC 2026","","","",""
"","7896","Verify lead export functionality with different filters -- @1.19 ","","Mon Jun 22 09:32:41 UTC 2026","passed","Mon Jun 22 09:32:49 UTC 2026","","","",""
"","15424","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.3 ","","Mon Jun 22 09:24:59 UTC 2026","passed","Mon Jun 22 09:25:14 UTC 2026","","","",""
"","14524","Verify the summary details shown on the Contact Form page -- @1.1 ","","Mon Jun 22 09:18:58 UTC 2026","passed","Mon Jun 22 09:19:12 UTC 2026","","","",""
"","7698","Verify lead export functionality with different filters -- @1.10 ","","Mon Jun 22 09:31:33 UTC 2026","passed","Mon Jun 22 09:31:41 UTC 2026","","","",""
"","23610","Verify that only Prospect, Qualified, and Client leads can be selected when creating a new opportunity","","Mon Jun 22 09:52:12 UTC 2026","passed","Mon Jun 22 09:52:36 UTC 2026","","","",""
"","19053","TC_NL_015 TC_NL_022 TC_NL_028 TC_NL_029 - Verify lead status is updated correctly based on upgrade action -- @1.2 ","","Mon Jun 22 09:43:11 UTC 2026","passed","Mon Jun 22 09:43:30 UTC 2026","","","",""
"","8180","TC_NL_026 TC_VL_042 - Verify mandatory validation for Interest Note in Prospect stage","","Mon Jun 22 09:46:05 UTC 2026","passed","Mon Jun 22 09:46:14 UTC 2026","","","",""
"","11680","TC_LO_025 - Verify Product/Service value can be added and made available for selection","","Mon Jun 22 09:54:43 UTC 2026","passed","Mon Jun 22 09:54:55 UTC 2026","","","",""
"","14483","TC_TS_03 Verify that I can download the correct contact responses based on my selected details -- @1.3 ","","Mon Jun 22 09:16:55 UTC 2026","passed","Mon Jun 22 09:17:10 UTC 2026","","","",""
"","8754","EU-02 Verify Edit User modal opens with data -- @1.1 ","","Mon Jun 22 10:06:01 UTC 2026","passed","Mon Jun 22 10:06:10 UTC 2026","","","",""
"","27923","TC_OM_030 - Verify Opportunity Data Is Restored After Clearing Applied Filters -- @1.1 ","","Mon Jun 22 09:50:52 UTC 2026","passed","Mon Jun 22 09:51:20 UTC 2026","","","",""
"","13837","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.14 ","","Mon Jun 22 09:27:38 UTC 2026","passed","Mon Jun 22 09:27:52 UTC 2026","","","",""
"","19909","TC_LO_051 - Verify I can view lead details and all data is displayed correctly","","Mon Jun 22 09:34:17 UTC 2026","passed","Mon Jun 22 09:34:37 UTC 2026","","","",""
"","14132","AU-09 Verify user creation -- @1.1 ","","Mon Jun 22 10:05:23 UTC 2026","passed","Mon Jun 22 10:05:37 UTC 2026","","","",""
"","9076","TC_VL_060 TC_VL_061 Verify empty state messages when no data is available -- @1.2 ","","Mon Jun 22 09:48:43 UTC 2026","passed","Mon Jun 22 09:48:52 UTC 2026","","","",""
"","6262","TC_LO_059 - Verify default page size will be 10 for both the pages, lead and opportunity","","Mon Jun 22 09:47:58 UTC 2026","passed","Mon Jun 22 09:48:05 UTC 2026","","","",""
"","17036","TC_AO_012, TC_AO_013, TC_AO_014, TC_AO_017, TC_AO_024, TC_AO_025, TC_AO_026, TC_LO_052 - Verify lead and contact details in Add Opportunity flow","","Mon Jun 22 09:38:51 UTC 2026","passed","Mon Jun 22 09:39:08 UTC 2026","","","",""
"","15375","EU-03 EU-04 EU-05 EU-06 Verify updating user details -- @1.5 ","","Mon Jun 22 10:07:21 UTC 2026","passed","Mon Jun 22 10:07:36 UTC 2026","","","",""
"","8419","TC_TS_14 TC_TS_15 TC_TS_16 TC_TS_17 Verify that I can find contact responses using search -- @1.2 ","","Mon Jun 22 09:13:24 UTC 2026","passed","Mon Jun 22 09:13:33 UTC 2026","","","",""
"","20767","TC_TS_03 Verify that I can download the correct contact responses based on my selected details -- @1.6 ","","Mon Jun 22 09:17:32 UTC 2026","passed","Mon Jun 22 09:17:52 UTC 2026","","","",""
"","13018","TC_TS_02 TC_TS_03 TC_TS_04 Verify that I can view messages based on my selected filter option -- @1.1 ","","Mon Jun 22 09:11:02 UTC 2026","passed","Mon Jun 22 09:11:15 UTC 2026","","","",""
"","12820","Verify the summary details shown on the Contact Form page -- @1.3 ","","Mon Jun 22 09:19:26 UTC 2026","passed","Mon Jun 22 09:19:39 UTC 2026","","","",""
"","14374","TC_TS_25 Verify that I can remove one selected filter without changing the other selected details -- @1.1 ","","Mon Jun 22 09:15:39 UTC 2026","passed","Mon Jun 22 09:15:54 UTC 2026","","","",""
"","6124","AU-02 Verify mandatory field validations in Add User form -- @1.6 ","","Mon Jun 22 10:05:05 UTC 2026","passed","Mon Jun 22 10:05:11 UTC 2026","","","",""
"","9417","TC_LO_031 TC_OM_007 to TC_OM_010 TC_OM_024 - TC_OM_029 - Verify Opportunity data can be filtered using different filter criteria -- @1.12 ","","Mon Jun 22 09:37:47 UTC 2026","passed","Mon Jun 22 09:37:56 UTC 2026","","","",""
"","1546","Validate the login of users in utils -- @1.1 ","","Mon Jun 22 09:55:24 UTC 2026","passed","Mon Jun 22 09:55:25 UTC 2026","","","",""
"","28735","SU-02 SU-03 SU-05 Verify user search by name, email and reset -- @1.1 ","","Mon Jun 22 09:55:50 UTC 2026","passed","Mon Jun 22 09:56:18 UTC 2026","","","",""
"","22128","TC_LO_009 - Verify Conversion Rate calculation is accurate","","Mon Jun 22 09:24:02 UTC 2026","passed","Mon Jun 22 09:24:24 UTC 2026","","","",""
"","12226","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.7 ","","Mon Jun 22 09:25:57 UTC 2026","passed","Mon Jun 22 09:26:09 UTC 2026","","","",""
"","15600","TC_OM_016 - TC_OM_018, TC_OM_022, TC_OM_023 - Verify Opportunity Search Functionality, Persistence, and Reset Behavior -- @1.5 ","","Mon Jun 22 09:53:53 UTC 2026","passed","Mon Jun 22 09:54:09 UTC 2026","","","",""
"","15574","TC_OM_016 - TC_OM_018, TC_OM_022, TC_OM_023 - Verify Opportunity Search Functionality, Persistence, and Reset Behavior -- @1.3 ","","Mon Jun 22 09:53:22 UTC 2026","passed","Mon Jun 22 09:53:37 UTC 2026","","","",""
"","41828","TC_TS_03 Verify that I can download the correct contact responses based on my selected details -- @1.1 ","","Mon Jun 22 09:16:06 UTC 2026","passed","Mon Jun 22 09:16:48 UTC 2026","","","",""
"","8294","TC_VL_052 - Verify max file size validation for prospect note and attachments -- @1.1 ","","Mon Jun 22 09:48:15 UTC 2026","passed","Mon Jun 22 09:48:23 UTC 2026","","","",""
"","10184","TC_TS_14 TC_TS_15 TC_TS_16 TC_TS_17 Verify that I can find contact responses using search -- @1.3 ","","Mon Jun 22 09:13:33 UTC 2026","passed","Mon Jun 22 09:13:43 UTC 2026","","","",""
"","7592","Verify lead export functionality with different filters -- @1.14 ","","Mon Jun 22 09:32:02 UTC 2026","passed","Mon Jun 22 09:32:10 UTC 2026","","","",""
"","15823","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.10 ","","Mon Jun 22 09:26:41 UTC 2026","passed","Mon Jun 22 09:26:57 UTC 2026","","","",""
"","8396","TC_NL_017 - Verify cancel action returns user to Lead Management page -- @1.1 ","","Mon Jun 22 09:43:55 UTC 2026","passed","Mon Jun 22 09:44:03 UTC 2026","","","",""
"","21538","TC_OM_015 TC_OM_059 - Verify Opportunity Summary Metrics Update After an Opportunity Is Marked as Won -- @1.2 ","","Mon Jun 22 09:49:45 UTC 2026","failed","Mon Jun 22 09:50:07 UTC 2026","","","",""
"","5097","Verify that I can import a lead via XLSX and view the imported lead on the UI. -- @1.1 ","","Mon Jun 22 09:34:47 UTC 2026","broken","Mon Jun 22 09:34:52 UTC 2026","","","",""
"","7202","Verify lead export functionality with different filters -- @1.7 ","","Mon Jun 22 09:31:10 UTC 2026","passed","Mon Jun 22 09:31:18 UTC 2026","","","",""
"","23510","TC_OM_015 TC_OM_059 - Verify Opportunity Summary Metrics Update After an Opportunity Is Marked as Won -- @1.3 ","","Mon Jun 22 09:50:07 UTC 2026","failed","Mon Jun 22 09:50:30 UTC 2026","","","",""
"","11487","US-01 US-02 Verify user status toggle -- @1.2 ","","Mon Jun 22 10:08:51 UTC 2026","passed","Mon Jun 22 10:09:02 UTC 2026","","","",""
"","25335","TC_LO_047 - Verify default and user-initiated sorting functionality in the leads table -- @1.1 ","","Mon Jun 22 09:39:48 UTC 2026","passed","Mon Jun 22 09:40:13 UTC 2026","","","",""
"","8574","TC_LO_012 - Verify search works using Lead Name only -- @1.3 ","","Mon Jun 22 09:29:57 UTC 2026","passed","Mon Jun 22 09:30:05 UTC 2026","","","",""
"","10750","Verify that pipeline and total amount values are converted correctly using the currency change option.","","Mon Jun 22 09:34:37 UTC 2026","failed","Mon Jun 22 09:34:47 UTC 2026","","","",""
"","14919","EU-03 EU-04 EU-05 EU-06 Verify updating user details -- @1.7 ","","Mon Jun 22 10:07:47 UTC 2026","passed","Mon Jun 22 10:08:02 UTC 2026","","","",""
"","29678","FS-01 FS-02 FS-03 FS-04 Verify filtering users by status and reset -- @1.8 ","","Mon Jun 22 10:00:23 UTC 2026","passed","Mon Jun 22 10:00:53 UTC 2026","","","",""
"","17843","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.21 ","","Mon Jun 22 09:29:24 UTC 2026","passed","Mon Jun 22 09:29:42 UTC 2026","","","",""
"","10226","TC_NL_023 TC_NL_030 TC_NL_045 - Verify backward navigation retains data and follows stage sequence -- @1.1 ","","Mon Jun 22 09:44:25 UTC 2026","passed","Mon Jun 22 09:44:36 UTC 2026","","","",""
"","17177","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.1 ","","Mon Jun 22 09:24:24 UTC 2026","passed","Mon Jun 22 09:24:41 UTC 2026","","","",""
"","43474","Verify that the ""Add Opportunity"" option is not available for leads that have not reached the Prospect stage -- @1.2 ","","Mon Jun 22 09:47:15 UTC 2026","broken","Mon Jun 22 09:47:58 UTC 2026","","","",""
"","12741","SO-03 Verify sorting persists after applying filters -- @1.1 ","","Mon Jun 22 10:03:56 UTC 2026","passed","Mon Jun 22 10:04:09 UTC 2026","","","",""
"","9667","TC_NL_032 TC_AO_027 - Verify mandatory fields validation during Opportunities creation","","Mon Jun 22 09:51:39 UTC 2026","passed","Mon Jun 22 09:51:48 UTC 2026","","","",""
"","7776","Verify lead export functionality with different filters -- @1.4 ","","Mon Jun 22 09:30:48 UTC 2026","passed","Mon Jun 22 09:30:56 UTC 2026","","","",""
"","31089","FS-01 FS-02 FS-03 FS-04 Verify filtering users by status and reset -- @1.11 ","","Mon Jun 22 10:01:55 UTC 2026","passed","Mon Jun 22 10:02:26 UTC 2026","","","",""
"","13674","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.11 ","","Mon Jun 22 09:26:57 UTC 2026","passed","Mon Jun 22 09:27:11 UTC 2026","","","",""
"","7959","TC_TS_02 TC_TS_03 TC_TS_04 Verify that I can view messages based on my selected filter option -- @1.6 ","","Mon Jun 22 09:11:47 UTC 2026","passed","Mon Jun 22 09:11:55 UTC 2026","","","",""
"","14758","TC_TS_03 Verify that I can download the correct contact responses based on my selected details -- @1.5 ","","Mon Jun 22 09:17:17 UTC 2026","passed","Mon Jun 22 09:17:32 UTC 2026","","","",""
"","23816","Verify that the contact response summary is updated after changing the status -- @1.2 ","","Mon Jun 22 09:20:33 UTC 2026","passed","Mon Jun 22 09:20:57 UTC 2026","","","",""
"","7719","TC_TS_02 TC_TS_03 TC_TS_04 Verify that I can view messages based on my selected filter option -- @1.5 ","","Mon Jun 22 09:11:39 UTC 2026","passed","Mon Jun 22 09:11:47 UTC 2026","","","",""
"","9142","EU-02 Verify Edit User modal opens with data -- @1.2 ","","Mon Jun 22 10:06:10 UTC 2026","passed","Mon Jun 22 10:06:19 UTC 2026","","","",""
"","7816","TC_TS_14 TC_TS_15 TC_TS_16 TC_TS_17 Verify that I can find contact responses using search -- @1.1 ","","Mon Jun 22 09:13:16 UTC 2026","passed","Mon Jun 22 09:13:24 UTC 2026","","","",""
"","22917","Verify successful note creation from Opportunity Management","","Mon Jun 22 09:54:09 UTC 2026","broken","Mon Jun 22 09:54:32 UTC 2026","","","",""
"","10881","TC_TS_06 Verify that I can view responses for selected dates range -- @1.1 ","","Mon Jun 22 09:13:06 UTC 2026","passed","Mon Jun 22 09:13:16 UTC 2026","","","",""
"","7608","TC_LO_012 - Verify search works using Lead Name only -- @1.2 ","","Mon Jun 22 09:29:49 UTC 2026","passed","Mon Jun 22 09:29:57 UTC 2026","","","",""
"","7559","TC_VL_053 - Verify lead journey -- @1.4 ","","Mon Jun 22 09:39:33 UTC 2026","passed","Mon Jun 22 09:39:40 UTC 2026","","","",""
"","11570","TC_LO_031 TC_OM_007 to TC_OM_010 TC_OM_024 - TC_OM_029 - Verify Opportunity data can be filtered using different filter criteria -- @1.6 ","","Mon Jun 22 09:36:37 UTC 2026","passed","Mon Jun 22 09:36:48 UTC 2026","","","",""
"","10755","TC_VL_060 TC_VL_061 Verify empty state messages when no data is available -- @1.1 ","","Mon Jun 22 09:48:32 UTC 2026","passed","Mon Jun 22 09:48:43 UTC 2026","","","",""
"","17479","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.6 ","","Mon Jun 22 09:25:39 UTC 2026","passed","Mon Jun 22 09:25:57 UTC 2026","","","",""
"","14446","TC_LO_031 TC_OM_007 to TC_OM_010 TC_OM_024 - TC_OM_029 - Verify Opportunity data can be filtered using different filter criteria -- @1.2 ","","Mon Jun 22 09:35:51 UTC 2026","passed","Mon Jun 22 09:36:05 UTC 2026","","","",""
"","19737","TC_LO_039 TC_LO_058 - Verify multiple filters can be applied together and clearing filters restores default lead data -- @1.1 ","","Mon Jun 22 09:30:05 UTC 2026","passed","Mon Jun 22 09:30:25 UTC 2026","","","",""
"","15297","EU-03 EU-04 EU-05 EU-06 Verify updating user details -- @1.2 ","","Mon Jun 22 10:06:40 UTC 2026","passed","Mon Jun 22 10:06:56 UTC 2026","","","",""
"","9625","TC_VL_053 - Verify lead journey -- @1.1 ","","Mon Jun 22 09:39:08 UTC 2026","passed","Mon Jun 22 09:39:18 UTC 2026","","","",""
"","10540","TC_LO_031 TC_OM_007 to TC_OM_010 TC_OM_024 - TC_OM_029 - Verify Opportunity data can be filtered using different filter criteria -- @1.14 ","","Mon Jun 22 09:38:07 UTC 2026","passed","Mon Jun 22 09:38:17 UTC 2026","","","",""
"","7766","Verify invalid search results","","Mon Jun 22 10:09:02 UTC 2026","passed","Mon Jun 22 10:09:10 UTC 2026","","","",""
"","5000","TC_NL_005 - Verify Created Date is auto-populated and not editable","","Mon Jun 22 09:42:49 UTC 2026","passed","Mon Jun 22 09:42:54 UTC 2026","","","",""
"","15572","TC_OM_016 - TC_OM_018, TC_OM_022, TC_OM_023 - Verify Opportunity Search Functionality, Persistence, and Reset Behavior -- @1.4 ","","Mon Jun 22 09:53:37 UTC 2026","passed","Mon Jun 22 09:53:53 UTC 2026","","","",""
"","1711","Validate the login of users in utils -- @1.3 ","","Mon Jun 22 09:55:27 UTC 2026","passed","Mon Jun 22 09:55:28 UTC 2026","","","",""
"","10704","TC_TS_20 Verify that I can find the right contact responses after choosing date, client, and status -- @1.6 ","","Mon Jun 22 09:15:29 UTC 2026","passed","Mon Jun 22 09:15:39 UTC 2026","","","",""
"","6629","Validate the login of users in utils -- @1.6 ","","Mon Jun 22 09:55:41 UTC 2026","broken","Mon Jun 22 09:55:48 UTC 2026","","","",""
"","7506","Verify lead export functionality with different filters -- @1.1 ","","Mon Jun 22 09:30:25 UTC 2026","passed","Mon Jun 22 09:30:33 UTC 2026","","","",""
"","32257","Verify bulk contact & status change operation successfully -- @1.2 ","","Mon Jun 22 09:22:33 UTC 2026","passed","Mon Jun 22 09:23:05 UTC 2026","","","",""
"","22688","TC_VL_020 - Verify last updated metadata reflects correct user and timestamp after edit -- @1.1 ","","Mon Jun 22 09:41:01 UTC 2026","passed","Mon Jun 22 09:41:24 UTC 2026","","","",""
"","7637","Verify lead export functionality with different filters -- @1.8 ","","Mon Jun 22 09:31:18 UTC 2026","passed","Mon Jun 22 09:31:25 UTC 2026","","","",""
"","14722","TC_TS_03 Verify that I can download the correct contact responses based on my selected details -- @1.9 ","","Mon Jun 22 09:18:29 UTC 2026","passed","Mon Jun 22 09:18:44 UTC 2026","","","",""
"","7807","Verify lead export functionality with different filters -- @1.9 ","","Mon Jun 22 09:31:25 UTC 2026","passed","Mon Jun 22 09:31:33 UTC 2026","","","",""
"","17772","Verify bulk archive operation successfully -- @1.1 ","","Mon Jun 22 09:23:05 UTC 2026","failed","Mon Jun 22 09:23:23 UTC 2026","","","",""
"","5263","TC_NL_003 - Verify Target URL validation for valid and invalid inputs -- @1.1 ","","Mon Jun 22 09:48:05 UTC 2026","passed","Mon Jun 22 09:48:10 UTC 2026","","","",""
"","1567","Validate the logic based on RBAC -- @1.1 ","","Mon Jun 22 09:55:48 UTC 2026","passed","Mon Jun 22 09:55:50 UTC 2026","","","",""
"","17953","TC_VL_066 TC_OM_041 - Verify default and user-initiated sorting functionality in the opportunities table -- @1.1 ","","Mon Jun 22 09:48:52 UTC 2026","passed","Mon Jun 22 09:49:10 UTC 2026","","","",""
"","16199","TC_LO_009, TC_LO_043-TC_LO_046 TC_LO_055 TC_NL_038 TC_NL_013-TC_NL_014-TC_NL_021 TC_NL_049 TC_NL_001 TC_NL_006 TC_NL_013-TC_NL_014-TC_NL_021 - Verify default lead details and system-generated values for a newly created lead -- @1.1 ","","Mon Jun 22 09:33:05 UTC 2026","passed","Mon Jun 22 09:33:21 UTC 2026","","","",""
"","12038","SO-03 Verify sorting persists after applying filters -- @1.2 ","","Mon Jun 22 10:04:09 UTC 2026","passed","Mon Jun 22 10:04:21 UTC 2026","","","",""
"","13730","TC_LO_011,TC_LO_018,TC_LO_035 - Verify KPI metrics update based on applied and cleared filters -- @1.13 ","","Mon Jun 22 09:27:24 UTC 2026","passed","Mon Jun 22 09:27:38 UTC 2026","","","",""
"","9690","TC_LO_031 TC_OM_007 to TC_OM_010 TC_OM_024 - TC_OM_029 - Verify Opportunity data can be filtered using different filter criteria -- @1.4 ","","Mon Jun 22 09:36:18 UTC 2026","passed","Mon Jun 22 09:36:27 UTC 2026","","","",""
"","5032","TC_NL_003 - Verify Target URL validation for valid and invalid inputs -- @1.2 ","","Mon Jun 22 09:48:10 UTC 2026","passed","Mon Jun 22 09:48:15 UTC 2026","","","",""
"","18874","TC_OM_032 - Verify filters reset on refresh -- @1.1 ","","Mon Jun 22 09:51:20 UTC 2026","passed","Mon Jun 22 09:51:39 UTC 2026","","","",""
"","12641","TC_TS_25 Verify that I can remove one selected filter without changing the other selected details -- @1.2 ","","Mon Jun 22 09:15:54 UTC 2026","passed","Mon Jun 22 09:16:06 UTC 2026","","","",""
"","5943","AU-02 Verify mandatory field validations in Add User form -- @1.8 ","","Mon Jun 22 10:05:17 UTC 2026","passed","Mon Jun 22 10:05:23 UTC 2026","","","",""
"","16740","Verify the summary details shown on the Contact Form page -- @1.4 ","","Mon Jun 22 09:19:39 UTC 2026","passed","Mon Jun 22 09:19:55 UTC 2026","","","",""
"","9801","TC_LE_001-TC_LE_003 Verify lead export functionality without filters or search","","Mon Jun 22 09:42:39 UTC 2026","passed","Mon Jun 22 09:42:49 UTC 2026","","","",""
"","8322","TC_TS_02 TC_TS_03 TC_TS_04 Verify that I can view messages based on my selected filter option -- @1.11 ","","Mon Jun 22 09:12:30 UTC 2026","passed","Mon Jun 22 09:12:39 UTC 2026","","","",""
"","24153","Verify that the contact response summary is updated after changing the status -- @1.1 ","","Mon Jun 22 09:20:09 UTC 2026","passed","Mon Jun 22 09:20:33 UTC 2026","","","",""
